# From MPC 75007
P/2004 FY140 (LINEAR),e,2.1369,326.7843,241.9747,4.892113,0.0910876,0.17023728,4.0171,09/07.0/2015,2000,g 12.5,2.0
# From MPC 53304
P/2004 R3 (LINEAR-NEAT),e,13.1629,307.2784,40.8791,4.682489,0.0972722,0.27457089,144.3456,09/07.0/2015,2000,g 14.5,4.0
# From CCO 17
P/2004 T1 (LINEAR-NEAT),e,11.0358,51.4666,336.3952,3.474474,0.1521845,0.50640965,243.2204,09/07.0/2015,2000,g 12.5,4.0
# From MPC 55521
P/2004 V3 (Siding Spring),e,50.3611,356.0999,322.4489,7.144314,0.0516135,0.44438478,204.7250,09/07.0/2015,2000,g 11.5,4.0
# From MPC 75705
P/2004 V5 (LINEAR-Hill),e,19.3538,47.7783,87.9788,7.949059,0.0439775,0.44701770,168.5612,09/07.0/2015,2000,g  8.0,4.0
# From MPC 75705
P/2004 WR9 (LINEAR),e,4.9310,24.8987,72.1393,6.136067,0.0648439,0.68352604,251.8647,09/07.0/2015,2000,g 14.5,4.0
# From MPC 54164
P/2005 E1 (Tubbiolo),e,4.2713,335.7212,193.9936,7.034303,0.0528290,0.37669711,204.6934,09/07.0/2015,2000,g 10.0,4.0
# From MPC 54823
P/2005 GF8 (LONEOS),e,1.1903,314.9463,285.2458,5.858046,0.0695144,0.51541160,256.7212,09/07.0/2015,2000,g 11.5,4.0
# From MPC 75290
P/2005 JN (Spacewatch),e,8.8540,70.7677,153.3847,3.498778,0.1506016,0.34825168,201.8087,09/07.0/2015,2000,g 14.0,4.0
# From MPC 79019
P/2005 J1 (McNaught),e,31.7447,268.7949,338.9107,3.569565,0.1461440,0.56963903,194.4900,09/07.0/2015,2000,g 16.5,4.0
# From MPC 75705
P/2005 JD108 (Catalina-NEAT),e,3.2718,224.0874,90.5781,6.477502,0.0597851,0.37403467,221.1200,09/07.0/2015,2000,g 10.0,4.0
# From MPC 74246
P/2005 L1 (McNaught),e,7.7321,138.2628,149.5928,3.984413,0.1239246,0.20743665,80.8294,09/07.0/2015,2000,g  9.5,4.0
# From MPC 87062
C/2005 L3 (McNaught),e,139.4182,288.8317,47.0271,2783,0.0000067,0.99799336,0.0000,01/12.3464/2008,2000,g  4.0,4.0
# From MPC 75706
P/2005 R1 (NEAT),e,15.4867,257.9767,118.8733,5.515823,0.0760832,0.62550202,276.0439,09/07.0/2015,2000,g 14.0,4.0
# From MPC 75706
P/2005 S2 (Skiff),e,3.1365,161.2004,230.8176,8.019897,0.0433961,0.19609155,145.5648,09/07.0/2015,2000,g  7.5,4.0
# From MPC 75706
P/2005 S3 (Read),e,3.4892,273.2021,140.5955,4.881638,0.0913809,0.42224315,321.4603,09/07.0/2015,2000,g 12.0,4.0
# From MPC 75706
P/2005 SB216 (LONEOS),e,24.0563,1.4384,83.5768,7.107601,0.0520139,0.46440104,162.7280,09/07.0/2015,2000,g 12.0,2.0
# From MPC 55717
P/2005 T2 (Christensen),e,8.3054,260.3701,59.1504,3.833794,0.1312988,0.41937382,139.9852,09/07.0/2015,2000,g 14.5,4.0
