# From MPO143010
24978 1998 HJ151,e,2.3926,50.4223,124.2955,43.25262,0.0034649,0.05022522,71.0247,05/23.0/2014,2000,H 7.5,0.15
# From MPO186517
26181 1996 GQ21,e,13.3472,194.1570,356.2859,93.46676,0.0010907,0.59129561,9.8334,05/23.0/2014,2000,H 5.2,0.15
# From MPO112690
26310 1998 TX6,e,5.3702,211.0972,98.5415,2.139041,0.3150471,0.47005937,27.9375,05/23.0/2014,2000,H19.2,0.15
# From MPO186517
26375 1999 DE9,e,7.6059,322.8988,159.8235,55.85970,0.0023608,0.42227675,24.2007,05/23.0/2014,2000,H 5.1,0.15
# From MPO198784
26379 1999 HZ1,e,8.6890,252.1964,200.4652,1.605892,0.4843168,0.57625210,199.6346,05/23.0/2014,2000,H18.0,0.15
# From MPO 14467
26817 1987 QB,e,3.4949,153.2145,156.5077,2.803431,0.2099758,0.59361693,258.5348,05/23.0/2014,2000,H19.5,0.15
# From MPO155868
31662 1999 HP11,e,18.7995,14.0286,311.9089,1.597972,0.4879219,0.54793164,104.3268,05/23.0/2014,2000,H19.5,0.15
# From MPO157269
32929 1995 QY9,e,4.8411,342.1421,25.5672,39.69261,0.0039413,0.26362869,11.2473,05/23.0/2014,2000,H 8.0,0.15
# From MPO157269
33128 1998 BU48,e,14.2251,132.6963,283.0844,33.43560,0.0050979,0.38418424,68.0322,05/23.0/2014,2000,H 7.2,0.15
# From MPO231649
35670 1998 SU27,e,7.1089,271.4754,169.5714,2.123669,0.3184739,0.59464406,0.0353,05/23.0/2014,2000,H19.3,0.15
# From MPO240496
35671 1998 SN165,e,4.6056,192.1054,265.3065,37.88802,0.0042262,0.04491334,283.7837,05/23.0/2014,2000,H 5.6,0.15
# From MPO231656
37117 2000 VU2,e,13.8181,248.6061,180.2367,6.873974,0.0546880,0.55429640,267.2652,05/23.0/2014,2000,H13.1,0.15
# From MPO140065
38083 1999 HX11,e,12.7370,9.9825,81.1392,39.08279,0.0040339,0.15544499,95.6051,05/23.0/2014,2000,H 6.7,0.15
# From MPO231661
38239 1999 OR3,e,9.4388,199.9730,28.0634,2.035517,0.3393846,0.57568302,60.0958,05/23.0/2014,2000,H18.2,0.15
# From MPO186531
40314 1999 KR16,e,24.8123,205.6206,58.5161,48.73109,0.0028973,0.30276657,343.3784,05/23.0/2014,2000,H 5.8,0.15
# From MPO219836
41440 2000 HZ23,e,15.1071,64.0930,200.0623,1.575668,0.4983184,0.21151429,11.3446,05/23.0/2014,2000,H19.9,0.15
# From MPO169676
